ID,A,B,C,D,E,F,G,H,I,J,Time
15403_12_1558061241819318227,0,203,198,0,30,0,17,0,0,0,155984006
15403_12_1558061242023968740,0,201,207,0,37,0,15,0,0,0,180404126
15403_12_1558061242267771191,0,215,220,0,64,0,26,0,0,0,136604926
15403_12_1558061242459304859,0,212,218,0,59,0,25,0,0,0,135499092
15403_12_1558061242594870908,0,216,217,0,62,0,25,0,0,0,212898792
15403_12_1558061242852039702,0,213,215,0,57,0,27,0,0,0,105548777
15403_12_1558061242991580463,0,209,195,0,33,0,23,0,0,0,175020063
15403_12_1558061243220196162,0,207,194,0,30,0,21,0,0,0,108841408
15403_12_1558061243409239481,0,204,209,0,42,0,18,0,0,0,144060714
15403_12_1558061243609744869,0,216,231,0,76,0,26,0,0,0,172697847
15403_12_1558061243836358382,0,208,197,0,34,0,22,0,0,0,115686395
15403_12_1558061244005276556,0,208,213,0,50,0,22,0,0,0,129621428
15403_12_1558061244191704643,0,206,198,0,33,0,20,0,0,0,96484464
15403_12_1558061244288222206,0,205,201,0,35,0,18,0,0,0,154809028
15403_12_1558061244484946086,0,206,199,0,34,0,20,0,0,0,112329505
15403_12_1558061244631295621,0,199,203,0,31,0,12,0,0,0,114834008
15403_12_1558061244746156059,0,203,213,0,45,0,17,0,0,0,191486485
15403_12_1558061244979871960,0,212,220,0,61,0,25,0,0,0,151743173
15403_12_1558061245167873283,0,207,196,0,32,0,21,0,0,0,147678978
15403_12_1558061245348201629,0,212,190,0,31,0,26,0,0,0,103385039
15403_12_1558061245508377353,0,213,198,0,40,0,25,0,0,0,111832108
15403_12_1558061245620236257,0,214,187,0,30,0,27,0,0,0,104641219
15403_12_1558061245724938447,0,207,197,0,33,0,21,0,0,0,168778180
15403_12_1558061245961193847,0,212,216,0,57,0,25,0,0,0,145585638
15403_12_1558061246138199917,0,208,219,0,56,0,21,0,0,0,160100947
15403_12_1558061246298322861,0,201,203,0,33,0,15,0,0,0,166151927
15403_12_1558061246506869590,0,207,193,0,29,0,21,0,0,0,115016733
15403_12_1558061246671844099,0,206,200,0,35,0,20,0,0,0,139545429
15403_12_1558061246811429745,0,204,204,0,37,0,18,0,0,0,191439463
15403_12_1558061247002897483,0,201,208,0,38,0,15,0,0,0,124710503
15403_12_1558061247147872538,0,197,208,0,34,0,10,0,0,0,141889254
15403_12_1558061247327328997,0,210,196,0,35,0,24,0,0,0,61409137
15403_12_1558061247430837545,0,212,190,0,31,0,26,0,0,0,92837839
15403_12_1558061247575221510,0,205,200,0,34,0,19,0,0,0,115245160
15403_12_1558061247690526737,0,213,195,0,37,1,26,0,0,0,58616888
15403_12_1558061247800192357,0,208,195,0,32,0,22,0,0,0,104302139
15403_12_1558061247959824363,0,212,193,0,34,0,26,0,0,0,139716744
15403_12_1558061248217499893,0,198,206,0,33,0,12,0,0,0,110192356
15403_12_1558061248434856255,0,212,194,0,35,0,26,0,0,0,100686446
15403_12_1558061248607981238,0,209,197,0,35,0,23,0,0,0,177980944
15403_12_1558061248801151272,0,206,199,0,34,0,20,0,0,0,192450065
15403_12_1558061248993618341,0,212,200,0,41,0,24,0,0,0,255146176
15403_12_1558061249248788826,0,215,203,0,47,0,44,0,0,0,471707972
15403_12_1558061249727678834,0,225,551,0,437,39,342,0,0,0,21809540514
15403_12_1558061271659957206,0,259,333,0,167,10,116,0,0,0,508671782
15403_12_1558061272421515887,0,198,212,0,39,0,12,0,0,0,109333260
15403_12_1558061272601705346,0,205,195,0,29,0,19,0,0,0,47003238
15403_12_1558061272701757644,0,212,194,0,35,0,22,0,0,0,39242538
15403_12_1558061272774291936,0,209,200,0,38,0,22,0,0,0,74876602
15403_12_1558061272849191817,0,204,205,0,38,0,16,0,0,0,195788644
15403_12_1558061273075746651,0,201,207,0,37,0,14,0,0,0,138807412
15403_12_1558061273258483670,0,213,188,0,30,0,27,0,0,0,41871247
15403_12_1558061273324166672,0,209,194,0,32,0,23,0,0,0,99497366
15403_12_1558061273453120034,0,213,189,0,31,0,27,0,0,0,61148800
15403_12_1558061273609461077,0,215,225,0,69,0,28,0,0,0,90262819
15403_12_1558061273737021441,0,206,201,0,36,0,20,0,0,0,115750419
15403_12_1558061273881079355,0,208,198,0,35,0,22,0,0,0,115449966
15403_12_1558061273996558258,0,201,204,0,34,0,15,0,0,0,132903013
15403_12_1558061274129542660,0,215,206,0,50,0,25,0,0,0,202844689
15403_12_1558061274380344306,0,210,197,0,36,0,24,0,0,0,95852764
15403_12_1558061274560104905,0,208,200,0,37,0,22,0,0,0,90080333
15403_12_1558061274744866907,0,204,199,0,32,0,18,0,0,0,112469868
15403_12_1558061274893922077,0,213,199,0,41,0,27,0,0,0,153352234
15403_12_1558061275094918529,0,214,187,0,30,0,28,0,0,0,39825849
15403_12_1558061275250327911,0,207,198,0,34,0,21,0,0,0,115601330
15403_12_1558061275435970786,0,212,189,0,30,0,26,0,0,0,62019361
15403_12_1558061275564188473,0,206,200,0,35,0,19,0,0,0,118075821
15403_12_1558061275753788351,0,208,199,0,36,0,22,0,0,0,111203681
15403_12_1558061275927834460,0,204,200,0,33,0,18,0,0,0,115811777
15403_12_1558061276043672468,0,201,204,0,34,0,15,0,0,0,167542156
15403_12_1558061276246572265,0,210,201,0,40,0,24,0,0,0,163294530
15403_12_1558061276489239808,0,205,223,0,57,0,19,0,0,0,155373427
15403_12_1558061276644635897,0,208,230,0,67,0,20,0,0,0,146128231
15403_12_1558061276790793749,0,211,214,0,54,0,25,0,0,0,184317573
15403_12_1558061277013768216,0,207,198,0,34,0,21,0,0,0,156939452
15403_12_1558061277216025699,0,205,202,0,36,0,17,0,0,0,145070062
15403_12_1558061277361117195,0,207,199,0,35,0,21,0,0,0,137735187
15403_12_1558061277548146671,0,205,200,0,34,0,19,0,0,0,85940086
15403_12_1558061277667916434,0,213,224,0,66,0,25,0,0,0,179386811
15403_12_1558061277912941337,0,216,223,0,68,0,25,0,0,0,133348226
15403_12_1558061278107176585,0,210,190,0,29,0,24,0,0,0,63911033
